                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7781,                 8.5025,                 1.9384,                 0.9502,                0.14911,                 0.5189,                0.41079,                 1.6392,                 13.369,                 1.8623,             0.00065844,             0.00065844,             0.00065844
                      2,                 1.9306,                 5.3579,                 1.9724,                0.66818,                0.64062,                0.72032,                0.54594,                 1.7879,                 6.9285,                 1.9978,              0.0013142,              0.0013142,              0.0013142
