epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,577.702,1.21951,0.71264,1.75968,0.97932,0.94531,0.99015,0.84386,1.07189,0.51173,1.71562,0.001307,0.001307,0.001307
44,590.139,1.21934,0.68708,1.74154,0.99164,0.92704,0.9902,0.85774,1.00422,0.47609,1.68595,0.0012905,0.0012905,0.0012905
45,602.847,1.2109,0.67232,1.75827,0.93845,0.9529,0.98622,0.8569,1.02826,0.49604,1.72018,0.001274,0.001274,0.001274
46,615.408,1.2148,0.68102,1.75522,0.96822,0.99219,0.99026,0.85435,1.03289,0.4915,1.70476,0.0012575,0.0012575,0.0012575
47,627.861,1.20184,0.65667,1.74614,0.9442,0.9254,0.97579,0.84658,1.05632,0.56312,1.72396,0.001241,0.001241,0.001241
48,640.318,1.19182,0.66143,1.74856,0.94795,0.96875,0.98588,0.86513,0.99986,0.50713,1.71963,0.0012245,0.0012245,0.0012245
49,652.889,1.19808,0.6499,1.73967,0.95132,0.96875,0.99002,0.86842,1.04843,0.50089,1.71629,0.001208,0.001208,0.001208
50,665.626,1.14905,0.64033,1.73664,0.92977,0.96875,0.98493,0.86613,0.97788,0.5118,1.70134,0.0011915,0.0011915,0.0011915
51,677.844,1.15611,0.67779,1.74253,0.97571,0.94162,0.98851,0.87224,0.9625,0.47285,1.69907,0.001175,0.001175,0.001175
52,690.336,1.12756,0.62992,1.73556,0.96661,0.9375,0.98583,0.86306,1.01623,0.48509,1.71787,0.0011585,0.0011585,0.0011585
53,702.937,1.13892,0.6431,1.74808,0.96455,0.92969,0.98662,0.87035,0.99404,0.5099,1.70516,0.001142,0.001142,0.001142
54,715.705,1.12517,0.60463,1.71901,0.98776,0.92188,0.98957,0.87935,0.94651,0.46659,1.67917,0.0011255,0.0011255,0.0011255
55,728.253,1.13061,0.62739,1.73842,0.92414,0.9518,0.98515,0.84081,1.04783,0.54662,1.70965,0.001109,0.001109,0.001109
56,740.609,1.118,0.60839,1.71853,0.96766,0.96875,0.99119,0.8751,0.96893,0.45754,1.69038,0.0010925,0.0010925,0.0010925
57,753.102,1.12856,0.61679,1.7278,0.96896,0.97536,0.99192,0.87826,0.96113,0.43736,1.68413,0.001076,0.001076,0.001076
58,765.669,1.09115,0.57846,1.72535,0.97323,0.96094,0.99089,0.85467,1.02596,0.48252,1.71505,0.0010595,0.0010595,0.0010595
59,778.218,1.10853,0.59087,1.71463,0.97612,0.99219,0.99242,0.88208,0.98005,0.4734,1.69734,0.001043,0.001043,0.001043
60,790.527,1.09659,0.60841,1.73044,0.9768,0.97656,0.99286,0.87723,1.01771,0.44988,1.70611,0.0010265,0.0010265,0.0010265
61,802.969,1.12543,0.60747,1.75253,0.9458,0.96875,0.98988,0.86539,0.96229,0.44383,1.70196,0.00101,0.00101,0.00101
62,815.718,1.05328,0.58079,1.71163,0.95438,0.98438,0.99152,0.88965,0.93281,0.42581,1.68339,0.0009935,0.0009935,0.0009935
63,828.409,1.07119,0.57597,1.71114,0.94712,0.97942,0.99087,0.86556,1.00028,0.45568,1.71674,0.000977,0.000977,0.000977
64,841.044,1.08763,0.58708,1.73019,0.97037,0.96094,0.99101,0.88932,0.94231,0.42197,1.6784,0.0009605,0.0009605,0.0009605
65,853.517,1.0568,0.57408,1.70322,0.96937,0.96094,0.99063,0.87931,0.957,0.44236,1.68436,0.000944,0.000944,0.000944
66,866.186,1.05882,0.57182,1.72089,0.96125,0.9691,0.99028,0.86931,0.99905,0.46501,1.72494,0.0009275,0.0009275,0.0009275
67,878.67,1.0361,0.56564,1.70041,0.96839,0.95739,0.99057,0.87691,0.93971,0.44469,1.67321,0.000911,0.000911,0.000911
68,891.292,1.04482,0.59685,1.6994,0.97654,0.98438,0.99225,0.87413,0.95544,0.43476,1.69158,0.0008945,0.0008945,0.0008945
69,903.916,1.02873,0.56217,1.70217,0.95819,0.98438,0.98744,0.86476,0.98541,0.46243,1.69015,0.000878,0.000878,0.000878
70,916.343,1.03778,0.57251,1.70618,0.95371,0.9658,0.98883,0.87094,0.99447,0.47288,1.70066,0.0008615,0.0008615,0.0008615
71,928.945,1.04416,0.56025,1.7026,0.9548,0.99026,0.99258,0.88426,0.97637,0.42288,1.68489,0.000845,0.000845,0.000845
72,941.513,0.99213,0.5455,1.68223,0.9716,0.96094,0.9907,0.8744,0.94391,0.43087,1.68096,0.0008285,0.0008285,0.0008285
73,953.976,1.02063,0.55867,1.69176,0.97652,0.97495,0.9925,0.88235,0.93414,0.4159,1.66933,0.000812,0.000812,0.000812
74,966.503,1.00965,0.54698,1.70422,0.97638,0.96866,0.99196,0.87591,0.95409,0.43694,1.67924,0.0007955,0.0007955,0.0007955
75,978.972,1.01796,0.53946,1.72483,0.95245,0.95312,0.98448,0.85394,0.95713,0.48001,1.67426,0.000779,0.000779,0.000779
76,991.666,1.05159,0.57268,1.70523,0.9691,0.97996,0.99205,0.87294,0.99389,0.455,1.69862,0.0007625,0.0007625,0.0007625
77,1004.32,1.0246,0.56821,1.70506,0.92059,0.99625,0.98881,0.87269,0.93656,0.45363,1.67297,0.000746,0.000746,0.000746
78,1016.68,0.98312,0.52313,1.70049,0.9691,0.97994,0.99327,0.87455,0.99299,0.42099,1.68664,0.0007295,0.0007295,0.0007295
79,1029.15,0.98088,0.51534,1.69716,0.98395,0.95779,0.99339,0.87678,0.93502,0.40259,1.67022,0.000713,0.000713,0.000713
80,1041.67,0.97574,0.53657,1.71531,0.98444,0.9888,0.99381,0.88652,0.94107,0.40726,1.68266,0.0006965,0.0006965,0.0006965
81,1054.33,0.99146,0.54679,1.7099,0.97705,0.99776,0.99326,0.89095,0.92545,0.39787,1.67698,0.00068,0.00068,0.00068
82,1066.9,0.92782,0.49987,1.69664,0.98422,0.97478,0.99242,0.89016,0.94172,0.40364,1.67716,0.0006635,0.0006635,0.0006635
83,1079.35,0.933,0.51386,1.68742,0.97744,0.97656,0.99262,0.89351,0.9297,0.42254,1.67436,0.000647,0.000647,0.000647
84,1091.97,0.96656,0.51998,1.68903,0.9824,0.96094,0.99156,0.89057,0.90783,0.42539,1.66706,0.0006305,0.0006305,0.0006305
85,1104.68,0.94394,0.50682,1.68358,0.98432,0.98077,0.99286,0.88658,0.94112,0.41403,1.67976,0.000614,0.000614,0.000614
86,1117.29,0.93134,0.50593,1.68198,0.96727,0.99219,0.99259,0.88289,0.94806,0.39665,1.67067,0.0005975,0.0005975,0.0005975
87,1129.79,0.9159,0.49189,1.69091,0.96868,0.96668,0.99051,0.87361,0.96588,0.42342,1.68319,0.000581,0.000581,0.000581
88,1142.42,0.89032,0.4787,1.66809,0.95425,0.97777,0.98999,0.89382,0.89019,0.40874,1.6688,0.0005645,0.0005645,0.0005645
89,1155.16,0.91464,0.49236,1.67349,0.97687,0.98999,0.99319,0.88677,0.92147,0.3901,1.67749,0.000548,0.000548,0.000548
90,1167.74,0.94681,0.50711,1.69319,0.98433,0.9813,0.99342,0.89401,0.90208,0.38667,1.66441,0.0005315,0.0005315,0.0005315
91,1180.49,0.91856,0.49749,1.68242,0.97668,0.98177,0.99233,0.89105,0.9473,0.41941,1.66867,0.000515,0.000515,0.000515
92,1192.98,0.91373,0.48596,1.68166,0.97544,0.98438,0.99253,0.88325,0.92619,0.40718,1.67156,0.0004985,0.0004985,0.0004985
93,1205.55,0.88849,0.48219,1.66577,0.98436,0.98316,0.99262,0.88896,0.90934,0.40653,1.67095,0.000482,0.000482,0.000482
94,1218.36,0.87491,0.46638,1.6633,0.95996,1,0.99232,0.89014,0.89823,0.39997,1.66342,0.0004655,0.0004655,0.0004655
95,1231.04,0.86128,0.4703,1.66365,0.97591,1,0.9928,0.89067,0.89216,0.38876,1.65841,0.000449,0.000449,0.000449
96,1243.58,0.85002,0.46665,1.68179,0.99223,0.99718,0.9936,0.89441,0.88927,0.37715,1.65446,0.0004325,0.0004325,0.0004325
97,1255.93,0.83563,0.45596,1.66566,0.96963,0.99777,0.99296,0.89016,0.88895,0.38109,1.64849,0.000416,0.000416,0.000416
98,1268.54,0.84017,0.46258,1.6652,0.9877,0.97656,0.99189,0.88812,0.90271,0.40857,1.66457,0.0003995,0.0003995,0.0003995
99,1281.15,0.84243,0.45722,1.67512,0.96946,0.9921,0.99248,0.88796,0.89924,0.38962,1.6601,0.000383,0.000383,0.000383
100,1293.8,0.84088,0.45051,1.66943,0.98351,0.97656,0.99245,0.88715,0.92394,0.39401,1.66283,0.0003665,0.0003665,0.0003665
101,1306.18,0.83065,0.45012,1.66534,0.97703,0.9968,0.99243,0.89111,0.89246,0.37591,1.66762,0.00035,0.00035,0.00035
102,1318.55,0.84708,0.45134,1.67323,0.98444,0.98854,0.99224,0.8923,0.87526,0.38629,1.65124,0.0003335,0.0003335,0.0003335
