epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
44,1470.75,0.1566,0.28389,0.03791,0.9765,0.97379,0.99159,0.89313,0.1347,0.28822,0.03726,0.0012905,0.0012905,0.0012905
45,1503.95,0.16513,0.2768,0.03816,nan,0.13281,0.13524,0.11061,nan,nan,nan,0.001274,0.001274,0.001274
46,1537.06,0.16708,0.29124,0.03732,0.98384,0.95141,0.99152,0.87676,0.1403,0.30508,0.03695,0.0012575,0.0012575,0.0012575
47,1569.94,0.16733,0.28846,0.03934,0.98439,0.98552,0.99477,0.89639,0.13505,0.23286,0.03601,0.001241,0.001241,0.001241
48,1603.28,0.16414,0.28946,0.04131,nan,0.99219,0.98681,0.88839,nan,nan,nan,0.0012245,0.0012245,0.0012245
49,1636.05,0.1561,0.2715,0.03694,nan,0.99219,0.99146,0.88264,nan,nan,nan,0.001208,0.001208,0.001208
50,1669,0.15758,0.26417,0.03529,0.98385,0.96875,0.99242,0.87956,0.13677,0.28153,0.03669,0.0011915,0.0011915,0.0011915
51,1701.8,0.15056,0.27309,0.03795,0.96853,0.96172,0.9921,0.89442,0.14051,0.30481,0.0382,0.001175,0.001175,0.001175
52,1735.03,0.14605,0.26371,0.03475,0.99816,0.92969,0.99151,0.88747,0.14015,0.26664,0.03668,0.0011585,0.0011585,0.0011585
53,1767.93,0.15365,0.27039,0.03335,nan,0.98438,0.98292,0.88473,nan,nan,nan,0.001142,0.001142,0.001142
54,1800.96,0.15497,0.26624,0.03846,nan,0.99219,0.98765,0.87751,nan,nan,nan,0.0011255,0.0011255,0.0011255
55,1833.82,0.15175,0.26297,0.03404,1,0.9652,0.99373,0.88419,0.13924,0.25298,0.03737,0.001109,0.001109,0.001109
56,1866.64,0.15063,0.25175,0.0334,0.98448,0.99111,0.99469,0.89754,0.12843,0.22999,0.03414,0.0010925,0.0010925,0.0010925
57,1899.94,0.13865,0.24849,0.03315,0.9984,0.98438,0.99484,0.89684,0.13923,0.23467,0.03487,0.001076,0.001076,0.001076
58,1932.88,0.14086,0.25226,0.034,0.99117,0.96094,0.99231,0.88375,0.13968,0.29659,0.0347,0.0010595,0.0010595,0.0010595
59,1966.18,0.14656,0.25107,0.03415,0.99174,0.97656,0.99406,0.88705,0.13042,0.31622,0.03476,0.001043,0.001043,0.001043
60,1999.04,0.13811,0.2391,0.03145,nan,0.98438,0.98172,0.88321,nan,nan,nan,0.0010265,0.0010265,0.0010265
61,2032.04,0.14964,0.26155,0.03425,nan,0.78906,0.78448,0.67995,nan,nan,nan,0.00101,0.00101,0.00101
62,2064.98,0.15765,0.26448,0.03497,0.99863,0.98438,0.99448,0.89033,0.14215,0.27625,0.03645,0.0009935,0.0009935,0.0009935
63,2097.85,0.14737,0.26049,0.03401,0.98944,0.97656,0.99409,0.88477,0.14047,0.26264,0.03624,0.000977,0.000977,0.000977
64,2130.63,0.15058,0.25374,0.03608,0.96944,0.99149,0.99065,0.8889,0.13756,0.32327,0.0354,0.0009605,0.0009605,0.0009605
65,2163.49,0.1362,0.23531,0.03275,nan,0.95312,0.95335,0.84254,nan,nan,nan,0.000944,0.000944,0.000944
66,2196.62,0.13991,0.23797,0.0351,0.99761,0.97656,0.99446,0.89212,0.13747,0.26705,0.03445,0.0009275,0.0009275,0.0009275
67,2229.49,0.13532,0.23459,0.03089,0.99076,0.98438,0.9943,0.90419,0.13011,0.23476,0.03383,0.000911,0.000911,0.000911
68,2262.61,0.13711,0.23351,0.03043,0.99199,0.96809,0.99341,0.89524,0.12844,0.27789,0.03491,0.0008945,0.0008945,0.0008945
69,2295.62,0.12941,0.22951,0.03141,1,0.96731,0.99372,0.89893,0.13112,0.24142,0.03365,0.000878,0.000878,0.000878
70,2328.47,0.13332,0.23501,0.03208,0.99199,0.9678,0.99319,0.8826,0.13869,0.31159,0.03607,0.0008615,0.0008615,0.0008615
71,2361.47,0.13749,0.25157,0.03194,0.99178,0.97656,0.99423,0.89374,0.1367,0.26401,0.03658,0.000845,0.000845,0.000845
72,2394.64,0.13204,0.23323,0.03106,0.99928,0.97656,0.99462,0.89699,0.13544,0.24773,0.03515,0.0008285,0.0008285,0.0008285
73,2427.71,0.13309,0.23316,0.03363,nan,0.99219,0.99368,0.8941,nan,nan,nan,0.000812,0.000812,0.000812
74,2461.29,0.12529,0.23315,0.03073,0.98237,0.97656,0.99394,0.9051,0.13579,0.25584,0.03463,0.0007955,0.0007955,0.0007955
75,2495.2,0.12707,0.22114,0.0316,0.9977,0.98438,0.99469,0.89599,0.1322,0.26702,0.0341,0.000779,0.000779,0.000779
76,2528.25,0.11542,0.2239,0.02895,0.99133,0.99219,0.99477,0.8968,0.13631,0.244,0.03626,0.0007625,0.0007625,0.0007625
77,2561.18,0.12697,0.2374,0.0322,0.99212,0.98322,0.99345,0.895,0.12857,0.28022,0.03468,0.000746,0.000746,0.000746
78,2594.43,0.12103,0.2174,0.02928,0.96824,1,0.99422,0.90061,0.13291,0.2946,0.03502,0.0007295,0.0007295,0.0007295
79,2627.31,0.12038,0.21795,0.03032,0.97629,1,0.99477,0.89363,0.12808,0.2451,0.03703,0.000713,0.000713,0.000713
80,2660.08,0.12189,0.22193,0.02818,0.97646,0.99219,0.99445,0.89238,0.1329,0.28206,0.03506,0.0006965,0.0006965,0.0006965
81,2693.1,0.12643,0.224,0.02847,0.99818,1,0.995,0.89883,0.13003,0.22122,0.03742,0.00068,0.00068,0.00068
82,2726.04,0.11979,0.21584,0.02934,0.98446,1,0.99477,0.9014,0.13282,0.23674,0.03361,0.0006635,0.0006635,0.0006635
83,2759.22,0.11999,0.20924,0.02781,0.98288,0.98438,0.99438,0.89303,0.12881,0.24451,0.03368,0.000647,0.000647,0.000647
84,2792.33,0.12658,0.24125,0.03195,0.97647,0.99219,0.99092,0.88946,0.13315,0.28572,0.03447,0.0006305,0.0006305,0.0006305
85,2825.36,0.12444,0.23285,0.02824,0.991,0.96875,0.99402,0.8944,0.13305,0.24714,0.03679,0.000614,0.000614,0.000614
86,2858.55,0.12414,0.22918,0.03036,0.99835,0.96875,0.99431,0.88832,0.13333,0.23982,0.03416,0.0005975,0.0005975,0.0005975
