epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,610.166,1.32004,0.82366,1.88694,0.95685,0.88947,0.96113,0.77704,1.22944,0.71779,1.76851,0.000827187,0.000827187,0.000827187
43,623.715,1.27537,0.81327,1.86855,0.90952,0.90857,0.96307,0.7859,1.22865,0.75281,1.76409,0.000816875,0.000816875,0.000816875
44,637.475,1.28684,0.79615,1.873,0.87815,0.81515,0.92987,0.74265,1.21384,0.76678,1.76095,0.000806562,0.000806562,0.000806562
45,651.126,1.28819,0.79285,1.86915,0.9124,0.93074,0.97103,0.78405,1.17643,0.76933,1.74002,0.00079625,0.00079625,0.00079625
46,664.373,1.28616,0.78674,1.8669,0.87425,0.88113,0.94911,0.75129,1.20735,0.7264,1.74291,0.000785938,0.000785938,0.000785938
47,677.794,1.26129,0.75538,1.85262,0.95364,0.91013,0.96938,0.77795,1.18746,0.69681,1.73111,0.000775625,0.000775625,0.000775625
48,691.57,1.23891,0.74942,1.85985,0.94541,0.78048,0.90202,0.73331,1.20561,0.75959,1.7659,0.000765313,0.000765313,0.000765313
49,705.072,1.24513,0.80558,1.8687,0.94865,0.84806,0.93584,0.76222,1.18807,0.73427,1.74507,0.000755,0.000755,0.000755
50,718.746,1.22134,0.73323,1.86158,0.95068,0.86471,0.95625,0.77712,1.18869,0.7361,1.77478,0.000744688,0.000744688,0.000744688
51,732.514,1.21306,0.75338,1.84599,0.8995,0.89525,0.95665,0.8019,1.17775,0.67547,1.7481,0.000734375,0.000734375,0.000734375
52,745.936,1.24019,0.7493,1.87252,0.91248,0.87768,0.93929,0.77418,1.17755,0.71721,1.75271,0.000724062,0.000724062,0.000724062
53,759.403,1.19264,0.71112,1.84571,0.87389,0.95642,0.96952,0.76663,1.18842,0.6348,1.76668,0.00071375,0.00071375,0.00071375
54,772.941,1.18945,0.71252,1.86488,0.9144,0.88064,0.95821,0.78989,1.16317,0.71797,1.76225,0.000703437,0.000703437,0.000703437
55,786.555,1.19917,0.7374,1.85635,0.85136,0.81598,0.9193,0.73749,1.19962,0.79661,1.74507,0.000693125,0.000693125,0.000693125
56,800.114,1.18815,0.71103,1.84195,0.8073,0.89763,0.92911,0.78669,1.17316,0.68504,1.75266,0.000682813,0.000682813,0.000682813
57,813.686,1.16105,0.69156,1.8424,0.96482,0.8424,0.94297,0.79416,1.14907,0.68932,1.75166,0.0006725,0.0006725,0.0006725
58,827.301,1.16825,0.6977,1.82522,0.86363,0.88895,0.95231,0.7796,1.17196,0.6739,1.74153,0.000662188,0.000662188,0.000662188
59,840.836,1.1663,0.67713,1.82286,0.92099,0.84182,0.93992,0.7562,1.14116,0.68002,1.73534,0.000651875,0.000651875,0.000651875
60,854.292,1.13858,0.69297,1.83076,0.90914,0.84706,0.94987,0.79438,1.16372,0.69264,1.74865,0.000641562,0.000641562,0.000641562
61,867.909,1.15487,0.69673,1.83314,0.89428,0.86971,0.93987,0.77758,1.15209,0.73767,1.75851,0.00063125,0.00063125,0.00063125
62,881.664,1.10864,0.68287,1.81878,0.81812,0.8502,0.95654,0.76327,1.1856,0.8835,1.75704,0.000620938,0.000620938,0.000620938
63,895.185,1.13044,0.65891,1.82052,0.89804,0.90606,0.94599,0.76717,1.18314,0.66318,1.75766,0.000610625,0.000610625,0.000610625
64,908.601,1.11283,0.63804,1.81759,0.85335,0.92646,0.94701,0.77054,1.20145,0.6609,1.74425,0.000600313,0.000600313,0.000600313
65,921.94,1.13266,0.64877,1.81417,0.9184,0.87724,0.94875,0.77166,1.16782,0.64426,1.74457,0.00059,0.00059,0.00059
66,935.646,1.08874,0.63131,1.81324,0.92878,0.9225,0.96313,0.7998,1.1803,0.6691,1.74246,0.000579688,0.000579688,0.000579688
67,949.139,1.08568,0.63306,1.80783,0.95521,0.86556,0.95885,0.80191,1.10532,0.62898,1.73439,0.000569375,0.000569375,0.000569375
