epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,562.364,1.28654,0.71061,1.77122,0.98021,0.92969,0.98822,0.85455,1.06718,0.48897,1.74305,0.001307,0.001307,0.001307
44,574.542,1.20248,0.67076,1.73375,0.96078,0.92188,0.98488,0.82707,1.07827,0.57285,1.71129,0.0012905,0.0012905,0.0012905
45,586.583,1.23276,0.7054,1.76476,0.95579,0.94531,0.98314,0.85051,1.07574,0.52544,1.73469,0.001274,0.001274,0.001274
46,599.013,1.24819,0.70767,1.75521,0.96714,0.9198,0.98029,0.84536,1.08132,0.53003,1.70559,0.0012575,0.0012575,0.0012575
47,611.224,1.2817,0.69802,1.77188,0.97129,0.95312,0.98078,0.84438,1.04298,0.50921,1.71137,0.001241,0.001241,0.001241
48,623.425,1.19569,0.66154,1.75149,0.96723,0.95312,0.98943,0.87528,1.00694,0.50193,1.70972,0.0012245,0.0012245,0.0012245
49,635.536,1.25006,0.68702,1.74372,0.96799,0.945,0.98946,0.86061,1.04228,0.48749,1.6944,0.001208,0.001208,0.001208
50,647.858,1.23968,0.66485,1.75747,0.95996,0.94531,0.98554,0.8544,1.06425,0.51043,1.70505,0.0011915,0.0011915,0.0011915
51,660.145,1.18978,0.65815,1.76629,0.94613,0.96875,0.98474,0.85678,1.06382,0.53294,1.71091,0.001175,0.001175,0.001175
52,672.58,1.18007,0.67413,1.73641,0.91684,0.9475,0.98235,0.83717,1.04352,0.5454,1.7228,0.0011585,0.0011585,0.0011585
53,684.577,1.1531,0.6416,1.73582,0.91772,0.95853,0.98139,0.86608,0.9728,0.51192,1.70468,0.001142,0.001142,0.001142
54,696.839,1.14843,0.6381,1.73874,0.95078,0.90549,0.97503,0.8489,1.01396,0.52064,1.70514,0.0011255,0.0011255,0.0011255
55,709.114,1.16785,0.64107,1.72898,0.92444,0.95579,0.98221,0.85226,1.02811,0.52412,1.74017,0.001109,0.001109,0.001109
56,721.467,1.1675,0.62949,1.7439,0.95312,0.95306,0.98771,0.85332,1.05111,0.50865,1.71577,0.0010925,0.0010925,0.0010925
57,733.636,1.20815,0.64796,1.76482,0.98273,0.91406,0.98766,0.86673,1.02624,0.47691,1.70668,0.001076,0.001076,0.001076
58,745.799,1.16669,0.64997,1.73103,0.94648,0.9671,0.98908,0.85732,1.0251,0.48268,1.70325,0.0010595,0.0010595,0.0010595
59,758.239,1.11889,0.62328,1.72834,0.96518,0.96875,0.99143,0.86601,0.9996,0.45916,1.71349,0.001043,0.001043,0.001043
60,770.631,1.10892,0.5966,1.72193,0.9732,0.97656,0.99101,0.86973,0.99419,0.47594,1.69746,0.0010265,0.0010265,0.0010265
61,782.989,1.15121,0.62907,1.73419,0.98368,0.94202,0.98952,0.85609,1.06863,0.51953,1.7276,0.00101,0.00101,0.00101
